From_top,To_top,Processnumbersfromtop,Processnumberstotop,From_bottom,To_bottom,Processnumbersfrombottom,Processnumberstobottom,ratio
Manuf_OTN,Use_OTN,42,29,Manuf_OTN,Use_OTNandRecycling,42,7-8-29-44,0.8
Manuf_OTN,OtherRepo,42,44,Manuf_OTN,Use_OTNandRecycling,42,7-8-29-44,0.004

Manuf_OTD,Remelting,43,7,Manuf_OTD,Use_OTDandRecycling,43,7-8-30-44,0.10388
Manuf_OTD,RecycleRefining,43,8,Manuf_OTD,Use_OTDandRecycling,43,7-8-30-44,0.09212
Manuf_OTD,Use_OTD,43,30,Manuf_OTD,Use_OTDandRecycling,43,7-8-30-44,0.8
Manuf_OTD,OtherRepo,43,44,Manuf_OTD,Use_OTDandRecycling,43,7-8-30-44,0.004

#table S8

SheetAndPlate,Manuf_BC,9,32,Semisto_BC,Manuf_BC,9-12-14-17,32,0.18
Extrusion,Manuf_BC,12,32,Semisto_BC,Manuf_BC,9-12-14-17,32,0.72
ShapeCasting,Manuf_BC,14,32,Semisto_BC,Manuf_BC,9-12-14-17,32,0.05
Others,Manuf_BC,17,32,Semisto_BC,Manuf_BC,9-12-14-17,32,0.05

SheetAndPlate,Manuf_TAU,9,33,Semisto_TAU,Manuf_TAU,9-10-12-14-17,33,0.15
Foil,Manuf_TAU,10,33,Semisto_TAU,Manuf_TAU,9-10-12-14-17,33,0.02
Extrusion,Manuf_TAU,12,33,Semisto_TAU,Manuf_TAU,9-10-12-14-17,33,0.12
ShapeCasting,Manuf_TAU,14,33,Semisto_TAU,Manuf_TAU,9-10-12-14-17,33,0.67
Others,Manuf_TAU,17,33,Semisto_TAU,Manuf_TAU,9-10-12-14-17,33,0.04

SheetAndPlate,Manuf_TAE,9,34,Semisto_TAE,Manuf_TAE,9-12,34,0.5
Extrusion,Manuf_TAE,12,34,Semisto_TAE,Manuf_TAE,9-12,34,0.5

SheetAndPlate,Manuf_TOT,9,35,Semisto_TOT,Manuf_TOT,9-10-12-14-17,35,0.15
Foil,Manuf_TOT,10,35,Semisto_TOT,Manuf_TOT,9-10-12-14-17,35,0.02
Extrusion,Manuf_TOT,12,35,Semisto_TOT,Manuf_TOT,9-10-12-14-17,35,0.12
ShapeCasting,Manuf_TOT,14,35,Semisto_TOT,Manuf_TOT,9-10-12-14-17,35,0.67
Others,Manuf_TOT,17,35,Semisto_TOT,Manuf_TOT,9-10-12-14-17,35,0.04

#Semisto_PCA,Manuf_PCA,11,36 skip cos only one flow so data already takes care of it by not including the zero flows as variables?

#Semisto_POT,Manuf_POT,10,37 skip cos one flow

SheetAndPlate,Manuf_ME,9,38,Semisto_ME,Manuf_ME,9-12-14,38,0.38
Extrusion,Manuf_ME,12,38,Semisto_ME,Manuf_ME,9-12-14,38,0.39
ShapeCasting,Manuf_ME,14,38,Semisto_ME,Manuf_ME,9-12-14,38,0.22

