From,to,quantity,time,location,Flownumberfrom,Flownumberto
Foil,Manuf_TOT,0.056,2009,Global,10,35
Extrusion,Manuf_TOT,0.336,2009,Global,12,35
ShapeCasting,Manuf_TOT,1.876,2009,Global,14,35
Others,Manuf_TOT,0.112,2009,Global,17,35

CanSheet,Manuf_PCA,4.2,2009,Global,11,36

Foil,Manuf_POT,3.1,2009,Global,10,37

SheetAndPlate,Manuf_ME,1.406,2009,Global,9,38
Extrusion,Manuf_ME,1.443,2009,Global,12,38
ShapeCasting,Manuf_ME,0.814,2009,Global,14,38

WireAndCable,Manuf_ECA,3.8,2009,Global,13,39

SheetAndPlate,Manuf_EOT,0.792,2009,Global,9,40
Extrusion,Manuf_EOT,0.6,2009,Global,12,40
WireAndCable,Manuf_EOT,0.528,2009,Global,13,40
ShapeCasting,Manuf_EOT,0.504,2009,Global,14,40

SheetAndPlate,Manuf_CD,1.71,2009,Global,9,41
Foil,Manuf_CD,0.722,2009,Global,10,41
Extrusion,Manuf_CD,0.646,2009,Global,12,41
ShapeCasting,Manuf_CD,0.684,2009,Global,14,41

SheetAndPlate,Manuf_OTN,0.272,2009,Global,9,42
Extrusion,Manuf_OTN,0.288,2009,Global,12,42
ShapeCasting,Manuf_OTN,0.256,2009,Global,14,42
PowderAndPaste,Manuf_OTN,0.784,2009,Global,16,42

Manuf_BC,OtherRepo,0.0242,2009,Global,32,44
Manuf_TAU,OtherRepo,0.02464,2009,Global,33,44
Manuf_TAE,OtherRepo,0.0024,2009,Global,34,44
Manuf_TOT,OtherRepo,0.0112,2009,Global,35,44
Manuf_PCA,Landfillincineration,0.021,2009,Global,36,45
Manuf_POT,Landfillincineration,0.0155,2009,Global,37,45
Manuf_ME,OtherRepo,0.0185,2009,Global,38,44
Manuf_ECA,OtherRepo,0.0076,2009,Global,39,44
Manuf_EOT,OtherRepo,0.0096,2009,Global,40,44
Manuf_CD,Landfillincineration,0.0152,2009,Global,41,45
Manuf_OTN,OtherRepo,0.0064,2009,Global,42,44
Manuf_OTD,OtherRepo,0.0032,2009,Global,43,44
