From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
PowderAndPaste,InternalRefining,0.0,2009,Global,16,6,0,0,nan,nan
PowderAndPaste,Remelting,0.0,2009,Global,16,7,0,0,nan,nan
PowderAndPaste,RecycleRefining,0.0,2009,Global,16,8,0,0,nan,nan

Others,InternalRemelting,0.0,2009,Global,17,5,0,0,nan,nan
Others,InternalRefining,0.0,2009,Global,17,6,0,0,nan,nan

Manuf_BC,InternalRemelting,0.0,2009,Global,32,5,0,0,nan,nan
Manuf_BC,InternalRefining,0.0,2009,Global,32,6,0,0,nan,nan

Manuf_TAU,InternalRemelting,0.0,2009,Global,33,5,0,0,nan,nan
Manuf_TAU,InternalRefining,0.0,2009,Global,33,6,0,0,nan,nan

Manuf_TAE,InternalRemelting,0.0,2009,Global,34,5,0,0,nan,nan
Manuf_TAE,InternalRefining,0.0,2009,Global,34,6,0,0,nan,nan

Manuf_TOT,InternalRemelting,0.0,2009,Global,35,5,0,0,nan,nan
Manuf_TOT,InternalRefining,0.0,2009,Global,35,6,0,0,nan,nan

Manuf_PCA,InternalRemelting,0.0,2009,Global,36,5,0,0,nan,nan
Manuf_PCA,InternalRefining,0.0,2009,Global,36,6,0,0,nan,nan
Manuf_PCA,RecycleRefining,0.0,2009,Global,36,8,0,0,nan,nan

Manuf_POT,InternalRemelting,0.0,2009,Global,37,5,0,0,nan,nan
Manuf_POT,InternalRefining,0.0,2009,Global,37,6,0,0,nan,nan
Manuf_POT,Remelting,0.0,2009,Global,37,7,0,0,nan,nan

Manuf_ME,InternalRemelting,0.0,2009,Global,38,5,0,0,nan,nan
Manuf_ME,InternalRefining,0.0,2009,Global,38,6,0,0,nan,nan

Manuf_ECA,InternalRemelting,0.0,2009,Global,39,5,0,0,nan,nan
Manuf_ECA,InternalRefining,0.0,2009,Global,39,6,0,0,nan,nan
Manuf_ECA,Remelting,0.0,2009,Global,39,7,0,0,nan,nan

Manuf_EOT,InternalRemelting,0.0,2009,Global,40,5,0,0,nan,nan
Manuf_EOT,InternalRefining,0.0,2009,Global,40,6,0,0,nan,nan
Manuf_EOT,Remelting,0.0,2009,Global,40,7,0,0,nan,nan

Manuf_CD,InternalRemelting,0.0,2009,Global,41,5,0,0,nan,nan
Manuf_CD,InternalRefining,0.0,2009,Global,41,6,0,0,nan,nan

Manuf_OTN,InternalRemelting,0.0,2009,Global,42,5,0,0,nan,nan
Manuf_OTN,InternalRefining,0.0,2009,Global,42,6,0,0,nan,nan

Manuf_OTD,InternalRemelting,0.0,2009,Global,43,5,0,0,nan,nan
Manuf_OTD,InternalRefining,0.0,2009,Global,43,6,0,0,nan,nan

WasteManagement,InternalRemelting,0.0,2009,Global,31,5,0,0,nan,nan
WasteManagement,InternalRefining,0.0,2009,Global,31,6,0,0,nan,nan

Manuf_BC,OtherRepo,nan,2009,Global,32,44,0,0,nan,nan
Manuf_TAU,OtherRepo,nan,2009,Global,33,44,0,0,nan,nan
Manuf_TAE,OtherRepo,nan,2009,Global,34,44,0,0,nan,nan
Manuf_TOT,OtherRepo,nan,2009,Global,35,44,0,0,nan,nan
Manuf_PCA,Landfillincineration,nan,2009,Global,36,45,0,0,nan,nan
Manuf_POT,Landfillincineration,nan,2009,Global,37,45,0,0,nan,nan
Manuf_ME,OtherRepo,nan,2009,Global,38,44,0,0,nan,nan
Manuf_ECA,OtherRepo,nan,2009,Global,39,44,0,0,nan,nan
Manuf_EOT,OtherRepo,nan,2009,Global,40,44,0,0,nan,nan
Manuf_CD,Landfillincineration,nan,2009,Global,41,45,0,0,nan,nan
Manuf_OTN,OtherRepo,nan,2009,Global,42,44,0,0,nan,nan
Manuf_OTD,OtherRepo,nan,2009,Global,43,44,0,0,nan,nan
